feature,log2FC,padj,Expression
516.81755_0.5164,-0.04175757490296406,0.6774510709860626,Not significant
532.79157_0.5164,-0.4449821864766815,0.04907661449399762,Not significant
464.80416_0.5164,-0.7194640324524817,0.03956891654432488,Not significant
600.77905_0.5164,-0.15983819443530456,0.19439090372146803,Not significant
616.75289_0.5164,-0.5758643409845737,0.04292959326148416,Not significant
684.74038_0.5164,-0.29073541881735704,0.08251338892286621,Not significant
440.88141_0.5012,-0.21282993815842904,0.6195269484001718,Not significant
403.84818_0.5352,-0.457803686126517,0.051375833052375475,Not significant
381.86083_0.5301,0.7390470751249418,0.047636566390475324,Not significant
424.90734_0.519,0.4880781115720976,0.3462942258393196,Not significant
508.86856_0.5266,0.031119818921539078,0.8552099264962868,Not significant
273.95976_0.4523,-0.054457277612480946,0.4613180962962646,Not significant
387.87441_0.5439,0.14733979483682993,0.618685620615275,Not significant
456.85816_0.5241,-0.23190097372252155,0.499749177389184,Not significant
270.89983_0.542,0.9570942777497725,0.04400893330640761,Not significant
427.85402_0.5326,0.12698221880052032,0.7152656310261147,Not significant
134.04697_0.5843,-0.5793174226393316,0.7486116770581573,Not significant
180.9306_0.5714,-0.13447146078607838,0.6928197550808489,Not significant
175.96827_0.5601,0.20403032970565702,0.8271398630302851,Not significant
244.96341_0.4512,-0.02741601933812759,0.7088924718828387,Not significant
202.02037_0.591,0.6687433317361455,0.017206861916880745,Not significant
229.02266_0.5947,-0.7974945890151556,1.9310847805686481e-4,Not significant
213.04885_0.5947,-0.5154095668078603,0.04725513932827408,Not significant
229.01417_0.5949,-0.8547669267330149,0.027019756171152726,Not significant
230.03893_0.6524,0.36048947622485045,0.4316323301097026,Not significant
202.01208_0.6001,0.9824570693831259,0.0013928752310986342,Not significant
329.0863_0.6038,-1.5739444463666112,0.002637275056086536,Down-regulated
104.0351_0.6063,0.947962512902566,0.004119525825988346,Not significant
272.08589_0.602,0.7037489673332785,0.051136992607601524,Not significant
313.11279_0.6038,-0.7045677749746951,0.011881867756223644,Not significant
299.0968_0.6057,-0.7009422604983998,0.06593045391733887,Not significant
131.08226_0.6081,0.3357760450077722,0.18488456021946628,Not significant
127.05102_0.6081,-0.9208080276502127,0.0034908768123289714,Not significant
145.06153_0.6081,-0.8999071385550724,0.003747366220022266,Not significant
118.05072_0.6087,0.934817829522487,2.662076615928293e-5,Not significant
131.04586_0.6087,-0.6474345529640932,0.06790753189607615,Not significant
315.07002_0.6081,-0.6948812986561325,0.01673703618899401,Not significant
330.07031_0.6098,-0.7932113698001877,5.070185727989756e-4,Not significant
173.09267_0.5983,-0.8674383158658335,0.7088924718828387,Not significant
314.09644_0.6115,-0.45778484524179397,0.024908904822016763,Not significant
133.05021_0.8899,0.3803997493290233,0.19755304057991432,Not significant
369.01027_0.6173,-0.23201056366687195,0.2822136415907059,Not significant
128.03504_0.6174,-0.30110990934683013,0.01960294085638777,Not significant
168.02737_0.6179,0.3525671205122603,0.07267395322897402,Not significant
353.03621_0.6185,0.24546643976010335,0.16145676986502078,Not significant
102.0558_0.6185,-0.028854111745313143,0.7330715614186497,Not significant
331.0543_0.6202,-0.049474502628622824,0.7620466463927044,Not significant
146.04549_0.6197,0.0104798775959334,0.9126385347248603,Not significant
315.0805_0.6202,0.40838276440493015,0.050548369263464905,Not significant
